codigo_puesto_unico,zona_codigo,puesto_codigo,nombre_puesto_dashboard,nombre_puesto_base,nombres_puesto_base_variantes,nombre_puesto_ideca,nombre_sitio,localidad_codigo,localidad,direccion,latitud,longitud,estado_geocodificacion,fuente_geografica,templo_principal,total_testigos,lideres_activos,beneficiarios_mesas_trabajo,referidos_activos_lideres,lideres_ref_0,lideres_ref_1_5,lideres_ref_6_9,lideres_ref_10_mas,pct_lideres_activos,pct_beneficiarios_mesas_trabajo,numero_puesto_ideca
160010148,01,48,Centro Comercial Palatino,CENTRO COMERCIAL PALATINO,CENTRO COMERCIAL PALATINO,Centro Comercial Palatino,Centro Comercial Palatino,01,Usaquén,CRA 7 # 138 - 33,4.715298944999972,-74.02903810999999,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,CEDRITOS,8,8,0,18,3,4,1,0,100.0,0.0,48
160010150,01,50,Salón Comunal Tibabita,SALON COMUNAL TIBABITA,SALON COMUNAL TIBABITA,Salón Comunal Tibabita,Salón Comunal Tibabita,01,Usaquén,CRA 8 B # 191 - 04,4.768201207000004,-74.02949776100002,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,LIJACÁ,6,6,0,39,2,1,1,2,100.0,0.0,50
160010151,01,51,Colegio Distrital Aquileo Parra Sede Primaria,I E AQUILEO PARRA SEDE PRIMARIA,I E AQUILEO PARRA SEDE PRIMARIA,Colegio Distrital Aquileo Parra Sede Primaria,I E Aquileo Parra Sede Primaria,01,Usaquén,TRV 18 B # 187 - 43,4.765408610000009,-74.03934941900002,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,LIJACÁ,5,4,0,39,0,1,0,3,80.0,0.0,51
160010152,01,52,Colegio Mayor José Celestino Mutis,COLEGIO MAYOR JOSE CELESTINO MUTIS,COLEGIO MAYOR JOSE CELESTINO MUTIS,Colegio Mayor José Celestino Mutis,Colegio Mayor José Celestino Mutis,01,Usaquén,CRA 11 # 185 B - 88,4.763095998999972,-74.03262163800002,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,LIJACÁ,9,7,2,23,1,5,0,1,77.8,22.2,52
160010153,01,53,Colegio María Auxiliadora Norte,COLEGIO MARIA AUXILIADORA NORTE,COLEGIO MARIA AUXILIADORA NORTE,Colegio María Auxiliadora Norte,Colegio María Auxiliadora Norte,01,Usaquén,CRA 8 G # 166 - 70,4.744558521999977,-74.02956341499998,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,14,13,4,453,3,3,2,5,92.9,28.6,53
160010154,01,54,Salón Comunal San Cristóbal Norte,SALON COMUNAL SAN CRISTOBAL NORTE,SALON COMUNAL SAN CRISTOBAL NORTE,Salón Comunal San Cristóbal Norte,Salón Comunal San Cristóbal Norte,01,Usaquén,CLL 162 # 7 G - 37,4.737904302999993,-74.02651206399997,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,5,4,2,1,3,1,0,0,80.0,40.0,54
160010155,01,55,Salón Comunal Villa Nidia,SALON COMUNAL VILLA NIDIA,SALON COMUNAL VILLA NIDIA,Salón Comunal Villa Nidia,Salón Comunal Villa Nidia,01,Usaquén,CRA 4 # 160B - 23,4.734658377000017,-74.02081488300001,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,1,1,0,0,1,0,0,0,100.0,0.0,55
160010156,01,56,Colegio Distrital La Equidad SALUDCOOP,COLEGIO AGUSTIN FERNANDEZ SEDE D,COLEGIO AGUSTIN FERNANDEZ SEDE D,Colegio Distrital La Equidad SALUDCOOP,Colegio Distrital La Equidad SALUDCOOP,01,Usaquén,CRA 1 Este # 163 - 60,4.735055422000016,-74.01616506800002,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,1,1,0,0,1,0,0,0,100.0,0.0,56
160010157,01,57,Escuela Colombiana de Rehabilitación,ESCUELA COLOMBIANA DE REHABILITACION,ESCUELA COLOMBIANA DE REHABILITACION,Escuela Colombiana de Rehabilitación,Escuela Colombiana de Rehabilitación,01,Usaquén,AV CRA 15 # 151 - 68,4.732884051999974,-74.03997240500001,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,ORQUÍDEAS,18,16,0,82,1,10,1,4,88.9,0.0,57
160010158,01,58,Universidad de America Sede Posgrados,UNIVERSIDAD DE AMERICA SEDE POSGRADOS,UNIVERSIDAD DE AMERICA SEDE POSGRADOS,Universidad de America Sede Posgrados,Universidad de America Sede Posgrados,01,Usaquén,CLL 106 # 19 - 18,4.692904315000021,-74.05121914199998,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,SUBA - PRADO,4,4,4,62,0,1,1,2,100.0,100.0,58
