codigo_puesto_unico,zona_codigo,puesto_codigo,zona_operativa,templo_sector,nombre_puesto_dashboard,nombre_puesto_base,nombres_puesto_base_variantes,nombre_puesto_ideca,nombre_sitio,localidad_codigo,localidad,direccion,latitud,longitud,estado_geocodificacion,fuente_geografica,total_testigos,lideres_activos,beneficiarios_mesas_trabajo,referidos_activos_lideres,lideres_ref_0,lideres_ref_1_5,lideres_ref_6_9,lideres_ref_10_mas,pct_lideres_activos,pct_beneficiarios_mesas_trabajo,numero_puesto_ideca
160011860,18,60,SUR,SAN VICENTE FERRER,Colegio Parroquial Inmaculado Corazón de Maria,COL PARROQUIAL INMACULADO CORAZON MARIA,COL PARROQUIAL INMACULADO CORAZON MARIA,Colegio Parroquial Inmaculado Corazón de Maria,Colegio Parroquial Inmaculado Corazón de Maria,18,Rafael Uribe Uribe,"CLL 44 Sur # 28-61 / 
CLL 44 Sur # 27-75",4.584490334000009,-74.12772884200001,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,1,0,9,0,0,1,0,100.0,0.0,60
160011861,18,61,SUR,SANTA LUCÍA (BTA),Instituto San Antonio de Padua,INSTITUTO SAN ANTONIO DE PADUA,INSTITUTO SAN ANTONIO DE PADUA,Instituto San Antonio de Padua,Instituto San Antonio de Padua,18,Rafael Uribe Uribe,CRA 20 # 42A-56 Sur,4.575787639999987,-74.12304363800001,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,5,5,2,29,0,4,0,1,100.0,40.0,61
160011863,18,63,SUR,EL SOSIEGO,Polideportivo Molinos II,POLIDEPORTIVO MOLINOS II,POLIDEPORTIVO MOLINOS II,Polideportivo Molinos II,Polideportivo Molinos II,18,Rafael Uribe Uribe,"CLL 48 P Bis C Sur # 4 - 30 /
CRA 5 # 48P - 10 Sur",4.551606683999978,-74.10774667700002,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,1,0,1,0,1,0,0,100.0,0.0,63
160011901,19,01,NORTE,LA COLINA,Colegio Distrital León de Greiff,LUCERO DEL SUR,LUCERO DEL SUR,Colegio Distrital León de Greiff,Lucero del Sur,19,Ciudad Bolívar,"CRA 17 B Bis A # 67 - 30 Sur /
 CRA 17 B Bis A # 67 - 48 Sur",4.55066115599999,-74.13841960299999,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,1,0,6,0,0,1,0,100.0,0.0,1
160011901,19,01,NORTE,SUBA – RINCÓN,Colegio Distrital León de Greiff,LUCERO DEL SUR,LUCERO DEL SUR,Colegio Distrital León de Greiff,Lucero del Sur,19,Ciudad Bolívar,"CRA 17 B Bis A # 67 - 30 Sur /
 CRA 17 B Bis A # 67 - 48 Sur",4.55066115599999,-74.13841960299999,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,1,0,1,0,1,0,0,100.0,0.0,1
160011901,19,01,SUR,BOSA LA ESTACION,Colegio Distrital León de Greiff,LUCERO DEL SUR,LUCERO DEL SUR,Colegio Distrital León de Greiff,Lucero del Sur,19,Ciudad Bolívar,"CRA 17 B Bis A # 67 - 30 Sur /
 CRA 17 B Bis A # 67 - 48 Sur",4.55066115599999,-74.13841960299999,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,0,0,0,0,0,0,0,0.0,0.0,1
160011901,19,01,SUR,CANDELARIA LA NUEVA,Colegio Distrital León de Greiff,LUCERO DEL SUR,LUCERO DEL SUR,Colegio Distrital León de Greiff,Lucero del Sur,19,Ciudad Bolívar,"CRA 17 B Bis A # 67 - 30 Sur /
 CRA 17 B Bis A # 67 - 48 Sur",4.55066115599999,-74.13841960299999,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,3,3,1,21,1,0,1,1,100.0,33.3,1
160011901,19,01,SUR,KENNEDY,Colegio Distrital León de Greiff,LUCERO DEL SUR,LUCERO DEL SUR,Colegio Distrital León de Greiff,Lucero del Sur,19,Ciudad Bolívar,"CRA 17 B Bis A # 67 - 30 Sur /
 CRA 17 B Bis A # 67 - 48 Sur",4.55066115599999,-74.13841960299999,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,1,0,0,1,0,0,0,100.0,0.0,1
160011901,19,01,SUR,LUCERO BAJO,Colegio Distrital León de Greiff,LUCERO DEL SUR,LUCERO DEL SUR,Colegio Distrital León de Greiff,Lucero del Sur,19,Ciudad Bolívar,"CRA 17 B Bis A # 67 - 30 Sur /
 CRA 17 B Bis A # 67 - 48 Sur",4.55066115599999,-74.13841960299999,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,7,6,0,36,2,0,3,1,85.7,0.0,1
160011902,19,02,SUR,LUCERO BAJO,Colegio Distrital Don Bosco La Joya Sede A,SAN JOAQUIN DEL VATICANO,SAN JOAQUIN DEL VATICANO,Colegio Distrital Don Bosco La Joya Sede A,San Joaquín del Vaticano,19,Ciudad Bolívar,CLL 80 A Sur # 18 C - 70,4.537077279000016,-74.14493207800001,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,7,7,2,16,3,3,0,1,100.0,28.6,2
160011904,19,04,SUR,CANDELARIA LA NUEVA,Colegio Distrital Bicentenario,EL TESORO,EL TESORO,Colegio Distrital Bicentenario,El Tesoro,19,Ciudad Bolívar,"CLL 81 Sur # 18 M - 02 / 
CLL 81 Sur # 18 P - 08",4.5349725830000125,-74.14944513799998,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,3,3,0,10,0,2,1,0,100.0,0.0,4
160011904,19,04,SUR,LUCERO BAJO,Colegio Distrital Bicentenario,EL TESORO,EL TESORO,Colegio Distrital Bicentenario,El Tesoro,19,Ciudad Bolívar,"CLL 81 Sur # 18 M - 02 / 
CLL 81 Sur # 18 P - 08",4.5349725830000125,-74.14944513799998,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,9,7,3,48,2,2,0,3,77.8,33.3,4
160011905,19,05,SUR,CANDELARIA LA NUEVA,Colegio Distrital República de México - Sede Principal,MEXICO,MEXICO,Colegio Distrital República de México - Sede Principal,México,19,Ciudad Bolívar,"CLL 64 Sur # 17 - 50 / 
CRA 17 # 64 - 14 Sur",4.555005581999978,-74.13659955000003,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,2,2,1,16,1,0,0,1,100.0,50.0,5
160011905,19,05,SUR,LUCERO BAJO,Colegio Distrital República de México - Sede Principal,MEXICO,MEXICO,Colegio Distrital República de México - Sede Principal,México,19,Ciudad Bolívar,"CLL 64 Sur # 17 - 50 / 
CRA 17 # 64 - 14 Sur",4.555005581999978,-74.13659955000003,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,3,3,0,16,1,0,1,1,100.0,0.0,5
160011905,19,05,SUR,SANTA LUCÍA (BTA),Colegio Distrital República de México - Sede Principal,MEXICO,MEXICO,Colegio Distrital República de México - Sede Principal,México,19,Ciudad Bolívar,"CLL 64 Sur # 17 - 50 / 
CRA 17 # 64 - 14 Sur",4.555005581999978,-74.13659955000003,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,1,0,0,1,0,0,0,100.0,0.0,5
160011906,19,06,SUR,CANDELARIA LA NUEVA,Colegio Distrital El Recuerdo - Sede A,LUCERO MEDIO,LUCERO MEDIO,Colegio Distrital El Recuerdo - Sede A,Lucero Medio,19,Ciudad Bolívar,CLL 69 Sur # 18 B - 35,4.549026850000018,-74.14561460300001,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,1,1,0,0,1,0,0,0,100.0,0.0,6
160011906,19,06,SUR,LUCERO BAJO,Colegio Distrital El Recuerdo - Sede A,LUCERO MEDIO,LUCERO MEDIO,Colegio Distrital El Recuerdo - Sede A,Lucero Medio,19,Ciudad Bolívar,CLL 69 Sur # 18 B - 35,4.549026850000018,-74.14561460300001,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,3,2,0,26,0,1,0,1,66.7,0.0,6
160011907,19,07,SUR,LUCERO BAJO,Colegio Distrital Rafaél Uribe Uribe,VISTAHERMOSA,VISTAHERMOSA,Colegio Distrital Rafaél Uribe Uribe,Vistahermosa,19,Ciudad Bolívar,DIAG 71 B Sur # 18 I - 20,4.547101881000003,-74.14905681699997,geocodificado,IDECA/Catastro Bogotá - Puestos de Votación 2023,3,3,1,85,1,0,0,2,100.0,33.3,7
